Name,Rating,Profile,Address,Reviews,Salary,Jobs,Benefits,Photos
Lakme Salon,4.0,Beauty & Personal Care,Bangalore / Bengaluru +45 other locations,164,433,--,14,--
Capricorn Logistics,3.7,Logistics,Mumbai +22 other locations,164,676,8,9,--
Shankar Packagings,2.5,Packaging,Vadodara +6 other locations,164,792,5,11,--
Pratibha Syntex,3.8,Fashion & Textile,Indore +11 other locations,164,567,3,19,--
Shankar Packagings,2.5,Packaging,Vadodara +6 other locations,164,792,5,11,--
Caparo Group,3.9,Oil & Gas,Chennai +28 other locations,164,691,4,13,2
Euronet Worldwide,3.7,Mumbai +9 other locations,,165,1.2k,9,16,--
Capricorn Logistics,3.7,Logistics,Mumbai +22 other locations,164,676,8,9,--
Geno Pharmaceuticals,2.9,Pharma,Mumbai +38 other locations,164,428,--,13,--
Tropilite Foods,3.8,Food Processing,Gwalior +28 other locations,164,543,7,13,--
SmartSchool Education,4.6,EdTech,Noida +12 other locations,164,417,3,49,--
Zota Health Care,3.7,Pharma,Surat +37 other locations,164,639,1,7,--
Eazy ERP Technologies,3.7,IT Services & Consulting,Gurgaon / Gurugram +9 other locations,164,547,46,8,8
Salasar Techno Engineering,4.1,Iron & Steel,Ghaziabad +24 other locations,164,855,2,10,1
Hyderabad Metro Rail,4.1,Railways,Hyderabad / Secunderabad +5 other locations,164,507,--,22,--
Goel Ganga Group,3.4,Real Estate,Pune +4 other locations,164,620,2,27,--
First Abu Dhabi Bank,3.4,Banking,Bangalore / Bengaluru +8 other locations,164,891,--,22,--
Zentiva,4.1,Ankleshwar +7 other locations,,164,767,--,8,--
Urbanrise,3.8,Real Estate,Hyderabad / Secunderabad +5 other locations,164,669,5,2,--
TekisHub Consulting Services,4.0,IT Services & Consulting,Hyderabad / Secunderabad +12 other locations,164,885,--,5,--
Lloyds Technology Centre,3.4,IT Services & Consulting,Hyderabad / Secunderabad +6 other locations,164,1.8k,60,3,1
Lanson Toyota,4.2,Automobile,Chennai +9 other locations,163,480,1,9,2
Danblock Brakes,4.0,Industrial Machinery,Sonipat +7 other locations,163,639,--,16,--
Vulcan Express,4.3,Logistics,New Delhi +39 other locations,163,224,--,20,--
Lanson Toyota,4.2,Automobile,Chennai +9 other locations,163,480,1,9,2
Vanesa Care,4.2,Beauty & Personal Care,New Delhi +39 other locations,163,547,--,9,--
Royal Bank of Scotland International,4.0,Banking,Chennai +8 other locations,163,1.8k,--,28,--
Mukand Sumi Special Steel,3.8,Iron & Steel,Hosapete +9 other locations,163,612,--,8,--
Danblock Brakes,4.0,Industrial Machinery,Sonipat +7 other locations,163,639,--,16,--
Gibraltar Technologies,3.9,Bangalore / Bengaluru +23 other locations,,163,681,--,1,--
Elsevier,3.9,Printing & Publishing,Chennai +9 other locations,163,1.2k,--,13,31
Intense Technologies,3.8,IT Services & Consulting,Hyderabad / Secunderabad +13 other locations,163,1.2k,2,18,--
Mafatlal Industries,3.7,Mumbai +20 other locations,,163,572,7,10,--
K R Mangalam University,3.5,Education & Training,Gurgaon / Gurugram +4 other locations,163,388,39,6,--
Solverminds Solutions and Technologies,3.6,IT Services & Consulting,Chennai +4 other locations,163,1.2k,7,6,3
Meditrina Hospital,4.2,Healthcare,Kollam +14 other locations,163,452,3,4,3
Krystal Integrated Services Limited,4.0,Facility Management Services,Mumbai +23 other locations,163,681,10,10,--
Kyb Motorcycle Suspension,3.6,Industrial Machinery,Chennai +12 other locations,163,530,--,14,--
Back Office,4.0,BPO,Mumbai +47 other locations,163,1.3k,2,16,1
Thirdware Solutions,4.1,IT Services & Consulting,Chennai +3 other locations,163,1k,--,23,--
Lawrence & Mayo,3.9,Retail,Hyderabad / Secunderabad +28 other locations,163,475,--,22,--
Amar Cars,3.9,Automobile,Vadodara +11 other locations,163,541,3,11,9
B.L. Agro Industries,3.3,Bareilly +20 other locations,,163,649,--,1,--
Kamdhenu,3.6,Building Material,Gurgaon / Gurugram +39 other locations,163,526,7,16,--
Dr B Lal Clinical Laboratory,4.4,Healthcare,Jaipur +13 other locations,163,383,6,20,8
Cinda Engineering & Construction,4.1,Engineering & Construction,Noida +13 other locations,163,705,5,9,1
Zen Technologies,3.6,Defence & Aerospace,Hyderabad / Secunderabad +8 other locations,163,767,32,10,4
Automotive Stampings and Assemblies,3.8,Auto Components,Pune +10 other locations,163,595,--,12,--
Safdarjung Hospital,4.4,Healthcare,New Delhi +5 other locations,163,695,--,16,--
Auto Ignition,3.7,Auto Components,Faridabad +8 other locations,163,612,2,19,--
Timezone Entertainment,3.5,Events,Mumbai +33 other locations,163,471,--,9,--
Denso Ten Minda India,4.2,Auto Components,Bawal +9 other locations,163,718,--,11,--
Sulphur Mills,3.9,Agro Chemicals,Mumbai +27 other locations,163,800,5,21,5
Kriya It,3.1,Internet,Chittoor +9 other locations,163,819,--,12,--
Faasos Food Services,4.2,Internet,Mumbai +16 other locations,162,396,--,19,--
Gopaljee Dairy Foods,4.2,Food Processing,Noida +26 other locations,162,517,--,18,--
Tech2Globe,3.9,IT Services & Consulting,New Delhi +1 other locations,162,276,12,14,--
L&T Transportation Infrastructure,4.5,Engineering & Construction,Mumbai +32 other locations,162,143,--,121,--
Peninsula Land,4.0,Real Estate,Mumbai +7 other locations,162,610,--,19,--
Donear Industries,3.4,Fashion & Textile,Mumbai +16 other locations,162,784,13,7,--
VBeyond Corporation,4.0,Recruitment,Lucknow +8 other locations,162,680,586,19,10
Arwade Infrastructure,3.9,Engineering & Construction,Pune +11 other locations,162,504,--,12,--
Satvat Infosol,3.1,IT Services & Consulting,Chennai +5 other locations,162,768,5,21,--
Tech2Globe,3.9,IT Services & Consulting,New Delhi +1 other locations,162,276,12,14,--
Narayana Junior College,3.5,Education & Training,Hyderabad / Secunderabad +28 other locations,162,307,--,40,--
Daebu Automotive Seat,3.3,Auto Components,Chennai +8 other locations,162,644,--,20,--
L&T Transportation Infrastructure,4.5,Engineering & Construction,Mumbai +32 other locations,162,143,--,121,--
Peninsula Land,4.0,Real Estate,Mumbai +7 other locations,162,610,--,19,--
Cubastion Consulting,3.0,IT Services & Consulting,Gurgaon / Gurugram +4 other locations,162,1k,21,13,40
Three D Integrated Solutions Ltd,2.7,Aviation,Gurgaon / Gurugram +26 other locations,162,589,5,16,--
Bonanza Portfolio,3.3,Financial Services,Mumbai +33 other locations,162,779,22,9,--
Careers360,3.3,Education & Training,Gurgaon / Gurugram +10 other locations,162,1k,--,11,4
Ubique Systems,3.5,Recruitment,Kolkata +11 other locations,162,638,6,6,--
Pramata Knowledge Solutions,3.2,Software Product,Bangalore / Bengaluru +4 other locations,162,786,--,19,5
Texport Industries,3.5,Fashion & Textile,Bangalore / Bengaluru +14 other locations,162,620,1,10,--
Satvat Infosol,3.1,IT Services & Consulting,Chennai +5 other locations,162,768,5,21,--
Donear Industries,3.4,Fashion & Textile,Mumbai +16 other locations,162,784,13,7,--
VBeyond Corporation,4.0,Recruitment,Lucknow +8 other locations,162,680,586,19,10
Arwade Infrastructure,3.9,Engineering & Construction,Pune +11 other locations,162,504,--,12,--
Revolt Motors,3.2,Internet,Gurgaon / Gurugram +19 other locations,162,698,23,3,--
Okinawa Autotech,3.6,Auto Components,Gurgaon / Gurugram +25 other locations,162,588,1,8,--
Connect Broadband,4.3,Telecom,Mohali +18 other locations,162,651,--,11,--
Svasti Microfinance,4.0,Financial Services,Mumbai +53 other locations,162,458,6,5,1
EarlySalary Services,3.6,FinTech,Pune +11 other locations,162,1.1k,34,12,6
Vegrow,3.8,Internet,Bangalore / Bengaluru +24 other locations,162,793,7,9,--
Presidency University,2.8,Education & Training,Bangalore / Bengaluru +6 other locations,162,694,--,15,--
Apis India,3.6,Food Processing,New Delhi +41 other locations,163,663,1,11,--
Biorad Medisys,3.7,Healthcare,Pune +11 other locations,162,835,4,10,--
Kaff Appliances (india),3.1,Consumer Electronics & Appliances,Gurgaon / Gurugram +30 other locations,162,630,--,11,--
Suven Life Sciences,3.5,Pharma,Hyderabad / Secunderabad +6 other locations,162,558,9,18,--
Sharda Hospital,3.6,Healthcare,Greater Noida +7 other locations,162,628,--,10,--
Antino,2.7,IT Services & Consulting,Gurgaon / Gurugram +6 other locations,162,757,66,27,5
Eduvanz,3.5,FinTech,Mumbai +9 other locations,162,785,--,10,3
Credgenics,3.4,FinTech,Noida +6 other locations,162,1.2k,24,7,11
IRIS KPO Resourcing,3.9,Analytics & KPO,Chennai +2 other locations,162,828,5,7,30
Symed Labs,3.8,Pharma,Hyderabad / Secunderabad +4 other locations,162,626,2,13,--
Merilytics,2.9,Analytics & KPO,Hyderabad / Secunderabad +5 other locations,162,1.4k,--,8,--
Garden Reach Shipbuilders & Engineers,4.1,Ports & Shipping,Kolkata +4 other locations,162,432,--,17,--
Harbinger Systems,3.6,Software Product,Pune +2 other locations,162,1.2k,6,14,5
Oxyzo Financial Services,3.4,Financial Services,Gurgaon / Gurugram +23 other locations,162,916,2,4,4
Allset Business Solutions,3.9,BPO,Chennai +11 other locations,162,859,--,7,--
Keertana Finserv,3.5,NBFC,Hyderabad / Secunderabad +46 other locations,162,399,10,1,--
DAZN,2.6,Media & Entertainment,Hyderabad / Secunderabad +5 other locations,162,1.3k,35,1,6
Meinhardt Group,2.9,Engineering & Construction,Noida +27 other locations,161,580,5,12,2
RattanIndia Power,3.2,Power,Amravati +8 other locations,161,718,24,17,--
Indian Steel Corporation,3.9,Iron & Steel,Gandhidham +10 other locations,161,659,--,21,--
EASTMAN EXPORTS GLOBAL CLOTHING PVT.LTD,3.6,Fashion & Textile,Tiruppur +9 other locations,161,864,3,9,--
MRCC Solutions,3.2,IT Services & Consulting,Mumbai +9 other locations,161,880,9,11,--
PS Group,3.7,Real Estate,Kolkata +9 other locations,161,676,13,14,--
Delphi Automotive Systems,3.7,Auto Components,Bangalore / Bengaluru +18 other locations,161,685,--,19,--
HLE Glascoat,3.3,Industrial Machinery,Anand +9 other locations,161,752,2,13,--
Olive Bar & Kitchen,3.9,Hospitality,Mumbai +14 other locations,161,464,34,20,--
Vestian Global Workplace Services,3.3,Real Estate,Bangalore / Bengaluru +15 other locations,161,764,2,9,9
Eurofins Scientific,3.2,Biotechnology,Bangalore / Bengaluru +18 other locations,161,1.3k,353,2,--
Holostik,3.7,Packaging,Noida +13 other locations,161,695,22,22,--
NSK,3.7,Industrial Machinery,Chennai +17 other locations,161,1.4k,--,25,--
AB Mauri India,4.0,FMCG,Bangalore / Bengaluru +27 other locations,162,696,--,9,--
Bureau of Indian Standards,3.9,Government,New Delhi +25 other locations,161,849,--,3,--
IIT Delhi,4.2,Education & Training,New Delhi +7 other locations,161,915,--,17,--
SEForge,3.4,Engineering & Construction,Coimbatore +6 other locations,161,827,--,14,--
Podar Jumbo Kids,3.9,Education & Training,Mumbai +37 other locations,161,424,--,14,--
NRP Projects,4.2,Engineering & Construction,Chennai +25 other locations,161,649,1,13,--
Northern Arc Capital,3.6,NBFC,Chennai +40 other locations,161,833,8,4,--
Icl Fincorp,3.2,Financial Services,Thrissur +29 other locations,161,606,11,1,--
Essencea Infoserv,2.5,BPO,Hyderabad / Secunderabad +8 other locations,161,438,4,3,--
PEARCE SERVICES,3.0,Telecom,Mohali +10 other locations,161,853,8,1,--
SmartWorld Developers,4.2,Real Estate,Gurgaon / Gurugram +2 other locations,161,717,6,3,1
Ascendum Solutions,3.2,IT Services & Consulting,Bangalore / Bengaluru +8 other locations,161,749,--,7,--
NRP Projects,4.2,Engineering & Construction,Chennai +25 other locations,161,649,1,13,--
Podar Jumbo Kids,3.9,Education & Training,Mumbai +37 other locations,161,424,--,14,--
Northern Arc Capital,3.6,NBFC,Chennai +40 other locations,161,833,8,4,--
Rajan Technocast,4.8,Industrial Machinery,Rajkot +12 other locations,164,163,5,8,--
Raptim Research,4.3,Clinical Research,Mumbai +3 other locations,161,880,--,15,--
Godrej Tyson Food,4.2,Food Processing,Mumbai +30 other locations,161,688,--,14,--
Somika Sarl,4.0,Metals & Mining,Vadodara +15 other locations,161,445,--,10,--
Amnet Systems,3.7,IT Services & Consulting,Chennai +6 other locations,161,750,3,11,--
Micromatic Grinding Technologies,4.0,Industrial Machinery,Ghaziabad +7 other locations,161,653,10,20,--
Bharat Coking Coal,4.4,Metals & Mining,Dhanbad +20 other locations,161,417,--,18,--
MAKEEN Energy,3.8,Hyderabad / Secunderabad +26 other locations,,161,393,--,1,1
KRG Technologies,4.2,IT Services & Consulting,Chennai +7 other locations,161,608,11,9,8
RPP Infra Projects,3.7,Engineering & Construction,Chennai +31 other locations,161,703,1,7,--
Hiranandani group,4.1,Real Estate,Mumbai +20 other locations,161,807,--,25,--
Smart Drive Systems,3.4,IT Services & Consulting,Hyderabad / Secunderabad +3 other locations,161,717,--,27,--
NeST Digital,3.6,IT Services & Consulting,Kochi +8 other locations,161,1.2k,62,4,3
Sellcraft Global Solutions,3.6,IT Services & Consulting,Pune +10 other locations,161,1k,--,7,--
Mega Rubber Technologies,3.8,Auto Components,Gurgaon / Gurugram +14 other locations,160,695,--,8,1
Jamboree Education,3.5,EdTech,New Delhi +18 other locations,160,621,9,14,3
Federal Mogul Powertrain,3.7,Auto Components,Bhiwadi +14 other locations,160,528,--,18,2
Shubhalakshmi Polyesters,3.7,Fashion & Textile,Bharuch +11 other locations,160,729,--,27,--
JCT Limited,3.7,Fashion & Textile,Phagwara +12 other locations,160,594,--,22,--
Qatargas,4.6,Oil & Gas,Mumbai +15 other locations,160,502,--,18,--
Graphite India,3.6,Electrical Equipment,Nashik +10 other locations,160,666,--,15,--
Lamprell,3.8,Oil & Gas,Sharjah +9 other locations,160,316,10,25,--
MSL Driveline Systems,4.2,Auto Components,Nashik +8 other locations,160,606,--,14,2
Mandovi Motors,4.0,Auto Components,Bangalore / Bengaluru +4 other locations,160,508,--,14,--
Wonderchef Home Appliances,3.9,Consumer Electronics & Appliances,Mumbai +28 other locations,160,651,3,12,--
Simplify3x Software,4.0,Software Product,Bangalore / Bengaluru +6 other locations,160,1.1k,--,2,--
SrinSoft Technologies,3.1,IT Services & Consulting,Chennai +5 other locations,160,1k,16,15,--
Indian School of Business,3.4,Analytics & KPO,Hyderabad / Secunderabad +9 other locations,160,944,11,13,--
PPMS Field Marketing,4.1,Marketing & Advertising,Chennai +33 other locations,161,444,--,8,1
KayBee Bio Organics,4.0,Agro Chemicals,Pune +11 other locations,161,320,11,2,2
Ilensys Technologies,4.1,Engineering & Construction,Hyderabad / Secunderabad +2 other locations,160,1k,22,8,--
Ramee Group of Hotels,3.5,Hospitality,Mumbai +15 other locations,160,596,--,17,1
Nippon Data Systems,3.9,IT Services & Consulting,New Delhi +19 other locations,160,958,--,7,--
Nyx-medical Solutions,2.9,Analytics & KPO,Bangalore / Bengaluru +7 other locations,160,674,--,4,1
Som Projects (S.P.L),4.0,Engineering & Construction,New Delhi +23 other locations,160,573,3,9,1
Liquiloans,2.9,FinTech,Mumbai +10 other locations,160,781,8,2,2
Crif Solutions,3.4,FinTech,Pune +1 other locations,160,1.2k,--,16,--
Epp Composites,3.4,Industrial Machinery,Rajkot +10 other locations,160,626,16,7,1
Unique Engineers,3.4,Industrial Machinery,Gurgaon / Gurugram +32 other locations,160,752,4,15,--
ABEC,4.0,Events,Mumbai +14 other locations,160,406,7,1,21
Corient Business Solutions,3.1,Accounting & Auditing,Mumbai +8 other locations,160,745,17,3,--
MiM-Essay,4.2,Education & Training,New Delhi +2 other locations,160,230,--,2,--
Carryfast group,3.7,Logistics,Indore +17 other locations,160,530,1,4,8
Tata Autocomp Gotion Green Energy Solutions,3.9,Pune +8 other locations,,160,568,--,2,--
ANEWA Engineering,3.7,Engineering & Construction,Hyderabad / Secunderabad,160,909,2,15,--
Kent,3.6,Financial Services,Noida +51 other locations,160,662,7,6,2
Groupe Seb,3.2,Consumer Electronics & Appliances,New Delhi +34 other locations,160,707,1,15,--
Genzeon (India) Private Limited,3.7,IT Services & Consulting,Hyderabad / Secunderabad +2 other locations,160,715,52,4,19
Matter Motor Works,3.5,Automobile,Ahmedabad +4 other locations,160,838,10,2,1
St. Joseph's School,4.3,Education & Training,Lucknow +60 other locations,159,480,--,17,--
ARSS Infrastructure Projects,3.7,Engineering & Construction,Bhubaneswar +19 other locations,159,479,--,15,--
St. Mary's School,3.8,Education & Training,New Delhi +62 other locations,159,528,1,17,2
ABP Network,4.0,Broadcasting,Noida +15 other locations,159,1k,--,14,--
Armstrong International,3.9,Industrial Machinery,Chennai +25 other locations,159,680,3,14,--
Manikaran Power Limited,3.7,Power,New Delhi +10 other locations,159,670,2,12,--
Enzen Global Solutions,3.1,Power,Bangalore / Bengaluru +16 other locations,159,553,2,17,--
Basicfirst Learning,2.8,EdTech,New Delhi +25 other locations,159,233,--,65,--
Layam Flexi Solutions,3.6,Recruitment,Chennai +34 other locations,159,581,--,14,--
Ind swift ltd. Gbu,3.4,Chandigarh +21 other locations,,159,707,--,2,--
Overseas Health Care,2.8,Pharma,Phillaur +40 other locations,160,429,--,13,--
Lilac Insights,3.1,Fitness & Wellness,Mumbai +21 other locations,159,568,2,10,--
S.M. Consultants,3.4,Management Consulting,Bhubaneswar +23 other locations,159,582,--,13,--
Mangal Industries,3.9,Auto Components,Tirupati +17 other locations,159,712,--,11,--
Macmillan Publishers,3.4,Printing & Publishing,Bangalore / Bengaluru +27 other locations,159,471,--,24,--
Acer India,4.3,IT Services & Consulting,Bangalore / Bengaluru +33 other locations,159,748,--,18,--
Appiness Interactive,4.6,IT Services & Consulting,Bangalore / Bengaluru +4 other locations,159,544,18,2,--
Bry-Air (Asia),3.8,Gurgaon / Gurugram +16 other locations,,159,688,5,14,1
VWR International,3.6,Pharma,Coimbatore +5 other locations,159,1k,--,20,--
FunnL,3.3,Marketing & Advertising,Hyderabad / Secunderabad +1 other locations,159,838,1,3,--
Da Milano Leathers,2.9,Leather,New Delhi +24 other locations,159,558,3,14,--
IPCS Global,4.4,Education & Training,Kochi +25 other locations,158,291,10,3,4
Cashfree Payments,3.2,FinTech,Bangalore / Bengaluru +6 other locations,159,1.4k,12,4,7
Archean Chemical Industries,4.0,Chemicals,Bhuj +17 other locations,159,719,2,14,--
Nineleaps Technology Solutions,3.9,IT Services & Consulting,Bangalore / Bengaluru +3 other locations,159,1.2k,--,15,35
Webvio Technologies,4.3,IT Services & Consulting,Kolkata +2 other locations,159,215,30,12,25
Pace Power Systems,3.5,Electrical Equipment,Bangalore / Bengaluru +41 other locations,158,419,--,12,--
CollegePur,4.7,Education & Training,Ghaziabad +7 other locations,158,4,--,8,--
Imerys,3.6,Metals & Mining,Visakhapatnam +16 other locations,158,714,--,19,--
Doordarshan,4.3,Broadcasting,New Delhi +35 other locations,158,750,3,17,--
Hindustan Platinum,3.5,Metals & Mining,Mumbai +4 other locations,158,1.1k,9,15,--
DCW,3.7,Chemicals,Thoothukudi +12 other locations,158,653,2,19,--
Jindal Industries Private Limited,3.5,Iron & Steel,Kolkata +20 other locations,158,1.7k,--,25,22
Parsons International,4.3,IT Services & Consulting,Doha +14 other locations,158,216,--,19,--
eBIZ.com,4.0,EdTech,Noida +23 other locations,158,149,--,32,--
Gopalan Enterprises,4.1,Real Estate,Bangalore / Bengaluru +5 other locations,158,671,16,10,--
Tata Realty and Infrastructure,3.9,Real Estate,Mumbai +25 other locations,158,880,14,9,--
J Pan Tubular Components,3.7,Industrial Machinery,Greater Noida +9 other locations,158,533,--,12,6
Thinksynq Solutions,3.8,Management Consulting,Chennai +12 other locations,158,618,1,12,3
VASANTHA TOOL CRAFTS,3.7,Industrial Machinery,Hyderabad / Secunderabad +1 other locations,158,560,--,20,--
Pan Gulf Technologies,4.0,Design,Mumbai +8 other locations,158,774,4,14,--
Aurus,2.7,FinTech,Pune +3 other locations,158,1.3k,--,11,1
Privi Organics,3.8,Chemicals,Mumbai +13 other locations,158,677,--,16,5
All Time Plastics,4.0,Petrochemicals,Mumbai +10 other locations,158,701,2,11,--
U.S. Polo Assn,4.5,Retail,Bangalore / Bengaluru +49 other locations,159,443,--,16,--
Eicher Trucks and Buses,4.5,Automobile,Indore +49 other locations,158,472,--,25,1
Webdew,4.5,IT Services & Consulting,Mohali +9 other locations,158,149,3,41,6
Leena AI,3.5,Software Product,Gurgaon / Gurugram +5 other locations,158,595,12,2,1
General Industrial Controls,3.8,Industrial Automation,Pune +13 other locations,158,988,12,6,5
Bewakoof,3.9,Fashion & Textile,Mumbai +10 other locations,158,837,1,22,--
KK Spun Pipes,3.2,Industrial Machinery,New Delhi +18 other locations,158,683,--,16,1
Punjab & Sind Bank,3.3,Banking,New Delhi +48 other locations,158,439,--,14,--
Ardex Endura,4.0,Building Material,Bangalore / Bengaluru +50 other locations,158,490,11,12,--
Infinity Data Technologies,3.7,IT Services & Consulting,Pune +7 other locations,158,1.1k,7,11,--
Honeywell Uop,3.7,Oil & Gas,Gurgaon / Gurugram +5 other locations,158,736,--,16,6
Monomark Engineering,4.1,Engineering & Construction,Chittorgarh +22 other locations,158,576,10,13,--
Indian Terrain Fashions,4.0,Fashion & Textile,Chennai +38 other locations,158,550,--,15,--
Kenstar,3.7,Consumer Electronics & Appliances,Gurgaon / Gurugram +49 other locations,158,551,--,9,--
Privi Speciality Chemicals,4.0,Chemicals,Mahad +13 other locations,158,792,4,11,--
Burger Singh,3.8,Hospitality,New Delhi +26 other locations,158,535,7,3,--
Kundan Group,3.0,Jewellery,New Delhi +18 other locations,158,582,3,1,1
NSL Sugars,3.9,Food Processing,Hyderabad / Secunderabad +19 other locations,157,525,11,10,--
Nirvasa Healthcare,3.5,Healthcare,Gurgaon / Gurugram +3 other locations,157,377,--,3,2
Narayana Medical College & Hospital,3.8,Healthcare,Nellore +10 other locations,157,466,--,13,--
Kumar Properties,4.0,Real Estate,Pune +6 other locations,157,802,11,6,--
PP Rolling Mills,3.8,Industrial Machinery,Faridabad +8 other locations,157,800,1,5,--
Nehru Yuva Kendra Sangathan,4.4,Non-Profit,New Delhi +86 other locations,158,171,--,18,8
TAL Manufacturing Solutions,3.6,Industrial Machinery,Nagpur +6 other locations,157,449,--,22,--
Super Auto India,3.7,Industrial Machinery,Pune +6 other locations,157,628,--,13,--
TC Global,3.7,EdTech,New Delhi +17 other locations,157,481,6,26,1
Yashashvi Rasayan,4.2,Metals & Mining,Bharuch +11 other locations,157,683,--,25,2
Maccaferri,3.9,Real Estate,Gurgaon / Gurugram +29 other locations,157,636,--,23,--
Informatica,3.8,Software Product,Bangalore / Bengaluru +10 other locations,157,2k,--,4,7
Melorra,3.0,Internet,Bangalore / Bengaluru +15 other locations,157,803,--,9,--
Indian Register of Shipping,3.9,Ports & Shipping,Mumbai +33 other locations,157,878,3,7,7
Polyplastics,3.9,Petrochemicals,Ahmedabad +20 other locations,158,781,--,10,--
Aranca,3.6,Analytics & KPO,Mumbai +5 other locations,157,1.1k,22,22,--
Gainwell Technologies,4.1,IT Services & Consulting,Bangalore / Bengaluru +10 other locations,157,1.4k,35,10,7
India Power Corporation,3.7,Power,Kolkata +8 other locations,157,685,2,17,--
Ferring Pharmaceuticals,4.0,Pharma,Hyderabad / Secunderabad +17 other locations,157,781,--,22,--
Aster Cmi Hospital,3.9,Healthcare,Bangalore / Bengaluru +7 other locations,157,606,--,18,--
Brose India Automotive Systems,3.7,Auto Components,Pune +3 other locations,157,975,2,13,1
Aster MIMS,4.3,Healthcare,Kozhikode +19 other locations,157,711,--,14,--
Aster MIMS,4.3,Healthcare,Kozhikode +19 other locations,157,711,--,14,--
Aranca,3.6,Analytics & KPO,Mumbai +5 other locations,157,1.1k,22,22,--
Kumar Properties,4.0,Real Estate,Pune +6 other locations,157,802,11,6,--
PP Rolling Mills,3.8,Industrial Machinery,Faridabad +8 other locations,157,800,1,5,--
Providence Global Center,3.7,IT Services & Consulting,Hyderabad / Secunderabad +1 other locations,157,1.4k,8,9,--
Filo,3.4,Internet,Gurgaon / Gurugram +17 other locations,157,553,9,5,--
efficiently,2.6,Hyderabad / Secunderabad +5 other locations,,157,452,--,7,--
Umang Dairies,3.6,FMCG,Gajraula +15 other locations,157,499,--,8,--
BG Distributors,3.7,FMCG,Kolkata +30 other locations,157,363,--,11,--
RC Plasto Tanks And Pipes,3.6,Nagpur +25 other locations,,159,636,--,14,--
SHARON BIO MEDICINE,4.2,Pharma,Dehradun +7 other locations,157,614,--,10,--
Express Roadways,3.7,Logistics,New Delhi +35 other locations,157,665,--,12,2
Metro Tyres,3.6,Auto Components,Ludhiana +31 other locations,157,654,--,10,2
Rayden Interactive,2.7,IT Services & Consulting,Pune +2 other locations,157,735,--,9,2
Scientific Games,3.5,Gaming,Bangalore / Bengaluru +5 other locations,157,225,1,2,--
Gujarat State Electricity Corporation,4.5,Government,Ahmedabad +23 other locations,157,261,--,8,1
BUDDI.AI,3.7,Software Product,Chennai +6 other locations,156,519,--,29,16
ValueFirst Digital Media,3.7,Software Product,Gurgaon / Gurugram +8 other locations,156,1k,--,21,--
Gowtham Model School,3.8,Education & Training,Hyderabad / Secunderabad +15 other locations,156,513,--,11,3
Khaitan Electricals,3.1,Food Processing,Kolkata +35 other locations,156,388,3,8,--
Border Roads Organisation,4.3,Government,New Delhi +27 other locations,156,331,--,22,--
Vihaan Networks,4.0,Telecom,Gurgaon / Gurugram +21 other locations,156,725,--,15,2
Saraswati Accountants Software,4.4,IT Services & Consulting,New Delhi +4 other locations,156,120,--,14,10
Fichtner Consulting Engineers,3.8,Engineering & Construction,Chennai +24 other locations,157,662,8,8,--
DataTracks,3.4,Financial Services,Chennai +4 other locations,156,1.1k,5,9,--
Ecolab,3.6,Waste Management,Pune +13 other locations,156,1k,135,1,--
Nahar Industrial Enterprises,3.7,Fashion & Textile,Chandigarh +13 other locations,157,649,2,16,--
Sterling Software Private Limited,3.5,Software Product,Chennai +3 other locations,156,1.4k,8,9,--
Acute Informatics,3.3,IT Services & Consulting,Ahmedabad +31 other locations,156,634,3,9,--
TIL,3.8,Industrial Machinery,Kolkata +20 other locations,156,710,33,16,--
Americana Group,3.5,Food Processing,Hyderabad / Secunderabad +21 other locations,156,319,--,21,1
Pathcare Labs,3.4,Healthcare,Hyderabad / Secunderabad +35 other locations,156,518,--,14,--
Mohani Tea Leaves,4.1,FMCG,Kanpur +19 other locations,156,501,1,22,--
Navigators Software,4.0,IT Services & Consulting,Kolkata +3 other locations,156,595,42,4,--
Ind Innovations,3.5,IT Services & Consulting,New Delhi +28 other locations,156,756,--,12,--
Impressions Services,3.9,Facility Management Services,Gurgaon / Gurugram +14 other locations,156,653,2,13,--
Hotel Parle International,3.9,Mumbai +59 other locations,,157,766,5,1,--
Sigma Supply Chain Solutions,3.5,Logistics,Noida +42 other locations,156,429,--,8,--
Holy Family Hospital,3.8,Healthcare,New Delhi +12 other locations,156,616,19,9,--
Inditex,4.1,Fashion & Textile,New Delhi +18 other locations,156,514,3,27,1
Traya Health,3.6,Fitness & Wellness,Mumbai +7 other locations,157,341,19,2,--
Lithium Urban Technologies,3.6,Urban Transport,Bangalore / Bengaluru +12 other locations,156,631,6,5,7
Deshpande Foundation,3.9,Non-Profit,Hubli +19 other locations,156,537,4,11,1
Valiant Organics,3.7,Chemicals,Bharuch +12 other locations,156,900,--,9,--
Arvind Smartspaces Limited,3.6,Real Estate,Ahmedabad +5 other locations,156,594,--,11,--
Expedien eSolutions,3.4,IT Services & Consulting,Noida +9 other locations,156,811,1,22,--
MGNREGA,3.4,Government,Hyderabad / Secunderabad +87 other locations,156,336,--,10,--
UTILITY PROJECTS AND SERVICES,3.9,Engineering & Construction,Chennai +17 other locations,156,776,10,21,--
Scorpion Express,3.7,Logistics,Mumbai +37 other locations,156,582,--,9,--
Shubham K Mart,4.4,Retail,Raipur +20 other locations,156,186,--,2,5
