Name,Rating,Profile,Address,Reviews,Salary,Jobs,Benefits,Photos
R1 RCM,3.8,BPO,New Delhi +43 other locations,4.1k,20.2k,548,333,22
Havells,3.9,Electrical Equipment,Noida +238 other locations,4.1k,14.8k,31,315,9
Intas Pharmaceuticals,4.1,Pharma,Ahmedabad +141 other locations,4k,16.8k,37,362,9
Motilal Oswal Financial Services,3.7,Financial Services,Mumbai +162 other locations,4k,12.4k,52,167,89
Utkarsh Small Finance Bank,3.7,Banking,Varanasi +377 other locations,4k,10.8k,12,269,43
Tata AIA Life Insurance,3.9,Insurance,Mumbai +407 other locations,3.9k,13.8k,597,297,18
Hetero,3.8,Pharma,Hyderabad / Secunderabad +64 other locations,3.9k,14.9k,140,332,12
Team Lease,3.9,Recruitment,Bangalore / Bengaluru +378 other locations,3.9k,15.5k,--,215,6
Bajaj Auto,3.8,Automobile,Pune +302 other locations,3.9k,14k,116,496,19
Thermax Limited,4.2,Industrial Machinery,Pune +235 other locations,3.8k,12.6k,78,371,22
Macleods Pharmaceuticals,3.6,Pharma,Mumbai +123 other locations,3.8k,15.4k,18,333,3
LG Electronics,3.9,Consumer Electronics & Appliances,Pune +285 other locations,3.8k,10.9k,--,398,18
Aakash Educational Services,3.3,Education & Training,New Delhi +236 other locations,3.8k,12.9k,60,211,21
Tata Communications,4.0,Telecom,Pune +98 other locations,3.8k,23.1k,27,426,13
Lenskart,3.3,Internet,New Delhi +229 other locations,3.8k,12.4k,201,198,19
Berger Paints,3.7,Chemicals,Kolkata +327 other locations,3.8k,9.5k,148,272,5
John Deere,4.0,Industrial Machinery,Pune +144 other locations,3.8k,14.9k,13,417,11
Oyo Rooms,3.1,Internet,Gurgaon / Gurugram +119 other locations,3.8k,15.5k,115,389,14
Royal Enfield,4.2,Automobile,Chennai +360 other locations,3.8k,14.3k,4,396,37
VE Commercial Vehicles,3.9,Automobile,Indore +151 other locations,3.7k,13.3k,8,340,7
Jubilant Foods Works,3.7,Hospitality,New Delhi +244 other locations,3.7k,8.8k,128,180,11
HDFC Ergo General Insurance,3.9,Insurance,Mumbai +311 other locations,3.7k,11.8k,17,273,7
Reliance Communications,4.0,Telecom,Mumbai +462 other locations,3.7k,9.7k,--,375,--
DCB Bank,3.8,Banking,Mumbai +330 other locations,3.7k,9.6k,12,248,21
Jindal Steel Limited,3.9,Iron & Steel,Angul +165 other locations,3.7k,14.9k,35,327,27
Carelon Global Solutions,3.8,Software Product,Bangalore / Bengaluru +18 other locations,3.7k,26.1k,28,6,7
Hindalco Industries,4.2,Metals & Mining,Sambalpur +121 other locations,3.6k,11.7k,5,328,9
Cummins,4.3,Industrial Machinery,Pune +109 other locations,3.6k,15.2k,5,458,16
State Street Corporation,3.6,Financial Services,Bangalore / Bengaluru +31 other locations,3.6k,29.4k,--,261,10
Bank of America,4.2,Banking,Gurgaon / Gurugram +33 other locations,3.6k,27.2k,1,411,--
XpressBees,4.2,Internet,Pune +465 other locations,3.6k,7.9k,14,176,22
Publicis Sapient,3.4,IT Services & Consulting,Bangalore / Bengaluru +43 other locations,3.6k,29.5k,223,391,64
RBL Bank,3.5,Banking,Mumbai +268 other locations,3.6k,17.9k,76,221,11
American Express,4.1,Financial Services,Gurgaon / Gurugram +50 other locations,3.6k,23.2k,196,434,10
Viatris,4.1,Pharma,Hyderabad / Secunderabad +80 other locations,3.6k,14k,9,500,12
Subros,3.8,Auto Components,Noida +84 other locations,3.6k,12.2k,1,378,8
Pidilite Industries,4.2,Chemicals,Mumbai +289 other locations,3.5k,11k,6,358,1
PVR Inox,3.9,Media & Entertainment,New Delhi +149 other locations,3.5k,9.2k,13,241,4
Alembic Pharmaceuticals,3.9,Pharma,Vadodara +178 other locations,3.5k,14.8k,42,378,9
Automatic Data Processing (ADP),3.9,Software Product,Hyderabad / Secunderabad +39 other locations,3.5k,21.4k,14,457,15
Maersk,4.0,Logistics,Chennai +47 other locations,3.4k,18.3k,53,420,26
